Modo,Cenario,Threads,Escalonamento,Chunk,Resolucao,MaxIter,Vezes,T_Med_Glob,T_Min_Glob,T_Max_Glob,T_Med_Seq,Speedup,Eficiencia,FatorBal,Simetria,T_Min_Thr,T_Max_Thr,T_Med_Thr,Acuracia_%,Diferentes,Dif_Alem_Tol,Aprovado,Medias_Threads,caso,baseline_key,threads_alvo,repeticao
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.915295,2.892418,2.946347,-1.0,0.0,0.0,1.0, Aplicada,2.892418,2.946347,2.915295,0.0,0,0, N/A       , 2.915295,A_padrao_4096,A_padrao_4096,,1
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.875389,2.862345,2.891306,-1.0,0.0,0.0,1.0, Aplicada,2.862345,2.891306,2.875389,0.0,0,0, Nao       , 2.875389,A_padrao_4096,A_padrao_4096,,2
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.866663,2.859862,2.874862,-1.0,0.0,0.0,1.0, Aplicada,2.859862,2.874862,2.866663,0.0,0,0, Nao       , 2.866663,A_padrao_4096,A_padrao_4096,,3
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.866189,2.86189,2.871874,-1.0,0.0,0.0,1.0, Aplicada,2.86189,2.871874,2.866189,0.0,0,0, Nao       , 2.866189,A_padrao_4096,A_padrao_4096,,4
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.888312,2.876822,2.905934,-1.0,0.0,0.0,1.0, Aplicada,2.876822,2.905934,2.888312,0.0,0,0, Nao       , 2.888312,A_padrao_4096,A_padrao_4096,,5
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.880426,2.865815,2.891684,-1.0,0.0,0.0,1.0, Aplicada,2.865815,2.891684,2.880426,0.0,0,0, Nao       , 2.880426,A_padrao_4096,A_padrao_4096,,6
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.871997,2.863791,2.888087,-1.0,0.0,0.0,1.0, Aplicada,2.863791,2.888087,2.871997,0.0,0,0, Nao       , 2.871997,A_padrao_4096,A_padrao_4096,,7
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.861512,2.856793,2.86535,-1.0,0.0,0.0,1.0, Aplicada,2.856793,2.86535,2.861512,0.0,0,0, N/A       , 2.861512,A_padrao_4096,A_padrao_4096,,8
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.874461,2.871523,2.87907,-1.0,0.0,0.0,1.0, Aplicada,2.871523,2.87907,2.874461,0.0,0,0, Nao       , 2.874461,A_padrao_4096,A_padrao_4096,,9
Sequencial, A_padrao_4096   ,1, N/A          ,0, 4096x4096 ,1000,3,2.870793,2.858191,2.884193,-1.0,0.0,0.0,1.0, Aplicada,2.858191,2.884193,2.870793,0.0,0,0, Nao       , 2.870793,A_padrao_4096,A_padrao_4096,,10
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.4716,2.470939,2.472705,-1.0,0.0,0.0,1.0, Nao     ,2.470939,2.472705,2.4716,0.0,0,0, Nao       , 2.471600,B_cavalos_4096,B_cavalos_4096,,1
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.460553,2.454052,2.464491,-1.0,0.0,0.0,1.0, Nao     ,2.454052,2.464491,2.460553,0.0,0,0, Nao       , 2.460553,B_cavalos_4096,B_cavalos_4096,,2
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.461594,2.44958,2.482646,-1.0,0.0,0.0,1.0, Nao     ,2.44958,2.482646,2.461594,0.0,0,0, Nao       , 2.461594,B_cavalos_4096,B_cavalos_4096,,3
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.469308,2.467042,2.473062,-1.0,0.0,0.0,1.0, Nao     ,2.467042,2.473062,2.469308,0.0,0,0, N/A       , 2.469308,B_cavalos_4096,B_cavalos_4096,,4
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.508625,2.454452,2.574703,-1.0,0.0,0.0,1.0, Nao     ,2.454452,2.574703,2.508625,0.0,0,0, N/A       , 2.508625,B_cavalos_4096,B_cavalos_4096,,5
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.529039,2.498684,2.565001,-1.0,0.0,0.0,1.0, Nao     ,2.498684,2.565001,2.529039,0.0,0,0, N/A       , 2.529039,B_cavalos_4096,B_cavalos_4096,,6
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.532193,2.486051,2.599045,-1.0,0.0,0.0,1.0, Nao     ,2.486051,2.599045,2.532193,0.0,0,0, N/A       , 2.532193,B_cavalos_4096,B_cavalos_4096,,7
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.512039,2.47023,2.542891,-1.0,0.0,0.0,1.0, Nao     ,2.47023,2.542891,2.512039,0.0,0,0, Nao       , 2.512039,B_cavalos_4096,B_cavalos_4096,,8
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.474472,2.450353,2.510497,-1.0,0.0,0.0,1.0, Nao     ,2.450353,2.510497,2.474472,0.0,0,0, Nao       , 2.474472,B_cavalos_4096,B_cavalos_4096,,9
Sequencial, B_cavalos_4096  ,1, N/A          ,0, 4096x4096 ,5000,3,2.627139,2.55606,2.694362,-1.0,0.0,0.0,1.0, Nao     ,2.55606,2.694362,2.627139,0.0,0,0, Nao       , 2.627139,B_cavalos_4096,B_cavalos_4096,,10
Sequencial, C_weak_5793     ,1, N/A          ,0, 5793x5793 ,1000,3,5.799385,5.748294,5.849977,-1.0,0.0,0.0,1.0, Aplicada,5.748294,5.849977,5.799385,0.0,0,0, Nao       , 5.799385,C_weak_5793,C_weak_5793,,1
Sequencial, C_weak_5793     ,1, N/A          ,0, 5793x5793 ,1000,3,5.74581,5.723751,5.766569,-1.0,0.0,0.0,1.0, Aplicada,5.723751,5.766569,5.74581,0.0,0,0, Nao       , 5.745810,C_weak_5793,C_weak_5793,,2
Sequencial, C_weak_5793     ,1, N/A          ,0, 5793x5793 ,1000,3,5.738456,5.734014,5.745272,-1.0,0.0,0.0,1.0, Aplicada,5.734014,5.745272,5.738456,0.0,0,0, N/A       , 5.738456,C_weak_5793,C_weak_5793,,3
Sequencial, C_weak_5793     ,1, N/A          ,0, 5793x5793 ,1000,3,5.788109,5.757986,5.846665,-1.0,0.0,0.0,1.0, Aplicada,5.757986,5.846665,5.788109,0.0,0,0, Nao       , 5.788109,C_weak_5793,C_weak_5793,,4
Sequencial, C_weak_5793     ,1, N/A          ,0, 5793x5793 ,1000,3,5.759083,5.751312,5.773965,-1.0,0.0,0.0,1.0, Aplicada,5.751312,5.773965,5.759083,0.0,0,0, Nao       , 5.759083,C_weak_5793,C_weak_5793,,5
Sequencial, C_weak_5793     ,1, N/A          ,0, 5793x5793 ,1000,3,5.761106,5.731625,5.777576,-1.0,0.0,0.0,1.0, Aplicada,5.731625,5.777576,5.761106,0.0,0,0, Nao       , 5.761106,C_weak_5793,C_weak_5793,,6
Sequencial, C_weak_5793     ,1, N/A          ,0, 5793x5793 ,1000,3,5.755863,5.734124,5.776731,-1.0,0.0,0.0,1.0, Aplicada,5.734124,5.776731,5.755863,0.0,0,0, Nao       , 5.755863,C_weak_5793,C_weak_5793,,7
